state,sec,Count
MORELOS,SECTOR 56,0
MORELOS,SECTOR 61,1
MORELOS,SECTOR 62,4
MORELOS,SECTOR 71,4
MORELOS,SECTOR 72,12
MORELOS,SECTOR 81,8
NAYARIT,SECTOR 11,105
NAYARIT,SECTOR 21,1
NAYARIT,SECTOR 22,1
NAYARIT,SECTOR 23,0
NAYARIT,SECTOR 31-33,10
NAYARIT,SECTOR 43,7
NAYARIT,SECTOR 46,15
NAYARIT,SECTOR 48-49,9
NAYARIT,SECTOR 51,0
NAYARIT,SECTOR 52,83
NAYARIT,SECTOR 53,0
NAYARIT,SECTOR 54,3
NAYARIT,SECTOR 55,0
NAYARIT,SECTOR 56,3
NAYARIT,SECTOR 61,0
NAYARIT,SECTOR 62,0
NAYARIT,SECTOR 71,3
NAYARIT,SECTOR 72,6
NAYARIT,SECTOR 81,10
NUEVO LEON,SECTOR 11,0
NUEVO LEON,SECTOR 21,0
NUEVO LEON,SECTOR 22,0
NUEVO LEON,SECTOR 23,3
NUEVO LEON,SECTOR 31-33,19
NUEVO LEON,SECTOR 43,15
NUEVO LEON,SECTOR 46,27
NUEVO LEON,SECTOR 48-49,7
NUEVO LEON,SECTOR 51,0
NUEVO LEON,SECTOR 52,109
NUEVO LEON,SECTOR 53,5
NUEVO LEON,SECTOR 54,2
NUEVO LEON,SECTOR 55,0
NUEVO LEON,SECTOR 56,18
NUEVO LEON,SECTOR 61,6
NUEVO LEON,SECTOR 62,1
NUEVO LEON,SECTOR 71,5
NUEVO LEON,SECTOR 72,14
NUEVO LEON,SECTOR 81,7
OAXACA,SECTOR 11,177
OAXACA,SECTOR 21,2
OAXACA,SECTOR 22,0
OAXACA,SECTOR 23,0
OAXACA,SECTOR 31-33,19
OAXACA,SECTOR 43,15
OAXACA,SECTOR 46,26
OAXACA,SECTOR 48-49,40
OAXACA,SECTOR 51,0
OAXACA,SECTOR 52,209
OAXACA,SECTOR 53,3
OAXACA,SECTOR 54,13
OAXACA,SECTOR 55,0
OAXACA,SECTOR 56,5
OAXACA,SECTOR 61,4
OAXACA,SECTOR 62,2
OAXACA,SECTOR 71,4
OAXACA,SECTOR 72,17
OAXACA,SECTOR 81,24
PUEBLA,SECTOR 11,21
PUEBLA,SECTOR 21,6
PUEBLA,SECTOR 22,0
PUEBLA,SECTOR 23,1
PUEBLA,SECTOR 31-33,35
PUEBLA,SECTOR 43,18
PUEBLA,SECTOR 46,47
PUEBLA,SECTOR 48-49,15
PUEBLA,SECTOR 51,1
PUEBLA,SECTOR 52,92
PUEBLA,SECTOR 53,6
PUEBLA,SECTOR 54,6
PUEBLA,SECTOR 55,0
PUEBLA,SECTOR 56,4
PUEBLA,SECTOR 61,6
PUEBLA,SECTOR 62,6
PUEBLA,SECTOR 71,4
PUEBLA,SECTOR 72,16
PUEBLA,SECTOR 81,11
QUERETARO,SECTOR 11,10
QUERETARO,SECTOR 21,2
QUERETARO,SECTOR 22,0
QUERETARO,SECTOR 23,0
QUERETARO,SECTOR 31-33,19
QUERETARO,SECTOR 43,8
QUERETARO,SECTOR 46,24
QUERETARO,SECTOR 48-49,8
QUERETARO,SECTOR 51,0
QUERETARO,SECTOR 52,154
QUERETARO,SECTOR 53,7
QUERETARO,SECTOR 54,8
QUERETARO,SECTOR 55,0
QUERETARO,SECTOR 56,6
QUERETARO,SECTOR 61,2
QUERETARO,SECTOR 62,3
QUERETARO,SECTOR 71,2
QUERETARO,SECTOR 72,6
QUERETARO,SECTOR 81,2
QUINTANA ROO,SECTOR 11,29
QUINTANA ROO,SECTOR 21,0
QUINTANA ROO,SECTOR 22,0
QUINTANA ROO,SECTOR 23,0
QUINTANA ROO,SECTOR 31-33,4
QUINTANA ROO,SECTOR 43,2
QUINTANA ROO,SECTOR 46,11
QUINTANA ROO,SECTOR 48-49,27
QUINTANA ROO,SECTOR 51,0
QUINTANA ROO,SECTOR 52,18
QUINTANA ROO,SECTOR 53,5
QUINTANA ROO,SECTOR 54,5
QUINTANA ROO,SECTOR 55,0
QUINTANA ROO,SECTOR 56,10
QUINTANA ROO,SECTOR 61,0
QUINTANA ROO,SECTOR 62,4
QUINTANA ROO,SECTOR 71,3
QUINTANA ROO,SECTOR 72,19
QUINTANA ROO,SECTOR 81,14
SAN LUIS POTOSI,SECTOR 11,21
SAN LUIS POTOSI,SECTOR 21,2
SAN LUIS POTOSI,SECTOR 22,0
SAN LUIS POTOSI,SECTOR 23,0
SAN LUIS POTOSI,SECTOR 31-33,5
SAN LUIS POTOSI,SECTOR 43,14
SAN LUIS POTOSI,SECTOR 46,14
SAN LUIS POTOSI,SECTOR 48-49,7
SAN LUIS POTOSI,SECTOR 51,1
SAN LUIS POTOSI,SECTOR 52,81
SAN LUIS POTOSI,SECTOR 53,1
SAN LUIS POTOSI,SECTOR 54,2
SAN LUIS POTOSI,SECTOR 55,0
SAN LUIS POTOSI,SECTOR 56,3
SAN LUIS POTOSI,SECTOR 61,2
SAN LUIS POTOSI,SECTOR 62,3
SAN LUIS POTOSI,SECTOR 71,3
SAN LUIS POTOSI,SECTOR 72,5
SAN LUIS POTOSI,SECTOR 81,16
SINALOA,SECTOR 11,543
SINALOA,SECTOR 21,2
SINALOA,SECTOR 22,0
SINALOA,SECTOR 23,0
SINALOA,SECTOR 31-33,9
SINALOA,SECTOR 43,11
SINALOA,SECTOR 46,25
SINALOA,SECTOR 48-49,9
SINALOA,SECTOR 51,0
SINALOA,SECTOR 52,23
SINALOA,SECTOR 53,2
SINALOA,SECTOR 54,5
SINALOA,SECTOR 55,0
SINALOA,SECTOR 56,3
SINALOA,SECTOR 61,1
SINALOA,SECTOR 62,0
SINALOA,SECTOR 71,2
SINALOA,SECTOR 72,19
SINALOA,SECTOR 81,20
SONORA,SECTOR 11,411
SONORA,SECTOR 21,0
SONORA,SECTOR 22,0
SONORA,SECTOR 23,0
SONORA,SECTOR 31-33,10
SONORA,SECTOR 43,17
SONORA,SECTOR 46,32
SONORA,SECTOR 48-49,13
SONORA,SECTOR 51,1
SONORA,SECTOR 52,12
SONORA,SECTOR 53,1
SONORA,SECTOR 54,6
SONORA,SECTOR 55,0
SONORA,SECTOR 56,4
SONORA,SECTOR 61,2
SONORA,SECTOR 62,0
SONORA,SECTOR 71,1
SONORA,SECTOR 72,9
SONORA,SECTOR 81,20
TABASCO,SECTOR 11,357
TABASCO,SECTOR 21,2
TABASCO,SECTOR 22,0
TABASCO,SECTOR 23,0
TABASCO,SECTOR 31-33,10
TABASCO,SECTOR 43,41
TABASCO,SECTOR 46,12
TABASCO,SECTOR 48-49,68
TABASCO,SECTOR 51,0
TABASCO,SECTOR 52,11
TABASCO,SECTOR 53,1
TABASCO,SECTOR 54,4
TABASCO,SECTOR 55,0
TABASCO,SECTOR 56,2
TABASCO,SECTOR 61,5
TABASCO,SECTOR 62,0
TABASCO,SECTOR 71,1
TABASCO,SECTOR 72,11
TABASCO,SECTOR 81,30
TAMAULIPAS,SECTOR 11,71
TAMAULIPAS,SECTOR 21,2
TAMAULIPAS,SECTOR 22,0
TAMAULIPAS,SECTOR 23,0
TAMAULIPAS,SECTOR 31-33,15
TAMAULIPAS,SECTOR 43,9
TAMAULIPAS,SECTOR 46,20
TAMAULIPAS,SECTOR 48-49,26
TAMAULIPAS,SECTOR 51,1
TAMAULIPAS,SECTOR 52,29
TAMAULIPAS,SECTOR 53,3
TAMAULIPAS,SECTOR 54,2
TAMAULIPAS,SECTOR 55,0
TAMAULIPAS,SECTOR 56,5
TAMAULIPAS,SECTOR 61,0
TAMAULIPAS,SECTOR 62,1
TAMAULIPAS,SECTOR 71,2
TAMAULIPAS,SECTOR 72,8
TAMAULIPAS,SECTOR 81,12
TLAXCALA,SECTOR 11,13
TLAXCALA,SECTOR 21,0
TLAXCALA,SECTOR 22,0
TLAXCALA,SECTOR 23,0
TLAXCALA,SECTOR 31-33,3
TLAXCALA,SECTOR 43,4
TLAXCALA,SECTOR 46,0
TLAXCALA,SECTOR 48-49,2
TLAXCALA,SECTOR 51,0
TLAXCALA,SECTOR 52,11
TLAXCALA,SECTOR 53,1
TLAXCALA,SECTOR 54,0
TLAXCALA,SECTOR 55,0
TLAXCALA,SECTOR 56,1
TLAXCALA,SECTOR 61,1
TLAXCALA,SECTOR 62,0
TLAXCALA,SECTOR 71,1
TLAXCALA,SECTOR 72,0
TLAXCALA,SECTOR 81,7
VERACRUZ,SECTOR 11,418
VERACRUZ,SECTOR 21,0
VERACRUZ,SECTOR 22,0
VERACRUZ,SECTOR 23,0
VERACRUZ,SECTOR 31-33,29
VERACRUZ,SECTOR 43,25
VERACRUZ,SECTOR 46,35
VERACRUZ,SECTOR 48-49,54
VERACRUZ,SECTOR 51,1
VERACRUZ,SECTOR 52,125
VERACRUZ,SECTOR 53,6
VERACRUZ,SECTOR 54,6
VERACRUZ,SECTOR 55,0
VERACRUZ,SECTOR 56,7
VERACRUZ,SECTOR 61,7
VERACRUZ,SECTOR 62,13
VERACRUZ,SECTOR 71,1
VERACRUZ,SECTOR 72,20
VERACRUZ,SECTOR 81,72
YUCATAN,SECTOR 11,115
YUCATAN,SECTOR 21,10
YUCATAN,SECTOR 22,0
YUCATAN,SECTOR 23,1
YUCATAN,SECTOR 31-33,22
YUCATAN,SECTOR 43,8
YUCATAN,SECTOR 46,13
YUCATAN,SECTOR 48-49,34
YUCATAN,SECTOR 51,0
YUCATAN,SECTOR 52,93
YUCATAN,SECTOR 53,6
YUCATAN,SECTOR 54,7
YUCATAN,SECTOR 55,0
YUCATAN,SECTOR 56,3
YUCATAN,SECTOR 61,4
YUCATAN,SECTOR 62,3
YUCATAN,SECTOR 71,3
YUCATAN,SECTOR 72,10
YUCATAN,SECTOR 81,19
